Name,Date,Tags,Sector,Countries,Ransomware Group,Data Type,Sector Type
dpfza.gov.dj,27/8/2024,employee bank details,Maritime,Djibouti,RansomHub,Employee data,maritime
dpfza.gov.dj,27/8/2024,financial reporting documents,Maritime,Djibouti,RansomHub,Financial data,maritime
dpfza.gov.dj,27/8/2024,payroll documents,Maritime,Djibouti,RansomHub,Payment/Payroll/Billing data,maritime
www.chwa.com.tw,27/8/2024,not yet published,Publishing,Taiwan,RansomHub,not yet published,publishing
ciot.com,29/8/2024,not yet published,Renovation,Canada,RansomHub,not yet published,renovation
wilmingtoncc.org,29/8/2024,personal identifications,Healthcare,United States,RansomHub,Personal/User data,healthcare
wilmingtoncc.org,29/8/2024,planning documents,Healthcare,United States,RansomHub,planning documents,healthcare
wilmingtoncc.org,29/8/2024,education certificates,Healthcare,United States,RansomHub,education certificates,healthcare
www.coastalcar.com,29/8/2024,product documents,Media,United States,Play,Product data,media
www.coastalcar.com,29/8/2024,invoice documents,Media,United States,Play,Accounting/Audit data,media
www.timortelecom.tl,30/8/2024,service agreements,Telecommunications,East Timor,RansomHub,service agreements,Telecommunications
www.timortelecom.tl,30/8/2024,personal identifcations,Telecommunications,East Timor,RansomHub,Personal/User data,Telecommunications
www.timortelecom.tl,30/8/2024,non-disclosure agreements,Telecommunications,East Timor,RansomHub,Confidential data,Telecommunications
www.timortelecom.tl,30/8/2024,debt information,Telecommunications,East Timor,RansomHub,debt information,Telecommunications
www.timortelecom.tl,30/8/2024,ceo documents,Telecommunications,East Timor,RansomHub,ceo documents,Telecommunications
www.timortelecom.tl,30/8/2024,finance documents,Telecommunications,East Timor,RansomHub,Financial data,Telecommunications
www.marketon.com,30/8/2024,financial documents,Aerospace,United States,Play,Financial data,aerospace
www.marketon.com,30/8/2024,employee documents,Aerospace,United States,Play,Employee data,aerospace
grant-associates.uk.com,30/8/2024,not yet published,Architecture,United Kingdom,RansomHub,not yet published,architecture
www.lfewines.com,30/8/2024,payments advice,Wine,United States,RansomHub,Payment/Payroll/Billing data,wine
www.lfewines.com,30/8/2024,order information,Wine,United States,RansomHub,Order data,wine
www.gruyeria.ch,30/8/2024,email exchanges,Renovation,Switzerland,RansomHub,email exchanges,renovation
www.gruyeria.ch,30/8/2024,project documents,Renovation,Switzerland,RansomHub,Project data,renovation
www.gruyeria.ch,30/8/2024,adminstrative documents,Renovation,Switzerland,RansomHub,Admin data,renovation
www.gruyeria.ch,30/8/2024,invoices,Renovation,Switzerland,RansomHub,Accounting/Audit data,renovation
www.gruyeria.ch,30/8/2024,contracts,Renovation,Switzerland,RansomHub,Contractor data,renovation
www.fenceauthority.com,30/8/2024,insurance certificates,Service Provider,United States,RansomHub,Insurance data,Service Provider
www.fenceauthority.com,30/8/2024,installment payment,Service Provider,United States,RansomHub,Payment/Payroll/Billing data,Service Provider
www.fenceauthority.com,30/8/2024,permit documents,Service Provider,United States,RansomHub,permit documents,Service Provider
