Name,Date,Tags,Sector,Countries
columbiapipe.com,12/03/2024,"accounts information, employee personal data, financial data, hr data, payroll, budget documents",Construction,United States
kmbdg.com,12/03/2024,"accounting documents, employee personal data, old and existing projects data",Consulting,United States
siemensmfg.com,12/03/2024,"cad, common data, hmo, newg",Manufacturing,United States
azdel.com,12/03/2024,"cad, contracts and agreements, corporate data, project data",Aerospace,South Korea
hymer-alu.de,12/03/2024,"employee personal data, project data, corrporate data",Manufacturing,Germany
www.mycinematech.com,13/03/2024,"Payroll Data, Employee Details ",Media,United States
www.adinareyter.com,14/03/2024,"Employee Details, Invoice Documents",Retail,United States
macphie.com,14/03/2024,"employee personal data, hr data, accounts data, fininacial data",Manufacturing,Scotland
www.ai-thermal.com,15/03/2024,Not Published Yet,Automotive ,United States
www.parkerdevco.com,15/03/2024,Not Published Yet,Construction,United States
www.trueblueenvironmental.com,15/03/2024,Not Yet Published,Environmental,United States
www.gridsme.com,15/03/2024,"Plan Documents, Invoice Documents, Client Documents",Energy,United States
www.telpro1.com,15/03/2024,"Infrastructure Documents, IT Documents, Technical Drawings",Technology,United States
www.nilorn.com,15/03/2024,Client Information  ,Packaging and Labeling,Sweden
crediblegroup.com,15/03/2024,"Financial Records, Contracts, Legal Information",Renovation,Canada
www.kinetx.com,15/03/2024,Not Published Yet,Aerospace,United States
www.granitdesign.com,15/03/2024,"Technical Documents, Design Documents, Client Documents ",Construction,Canada
www.millcreeklumber.com,15/03/2024,Not Published Yet,Construction,United States
www.alternateenergyhawaii.com,15/03/2024,"Financial Records, Contract Documents",Energy,United States
fluenthome.com,18/03/2024,"corporate data, employee personal data, r&d data",Security,Canada
arch-con.com,20/03/2024,"accounting data, admin data, corporate data, employee personal data",Construction,United States
patersoncooke.com,20/03/2024,"corporate data, drawings, employee personal data",Mining,South Africa
www.lapastina.com,20/03/2024,Not Yet Published,F&B,Brazil
www.industrialdealimentos.com,20/03/2024,"Databases, Finance Documents, IT Documents, HR Documents, IT Documents, Supplier's Recipes",Manufacturing,United States
doyon.com | doyondrilling.com,20/03/2024,"confidential information, corporate data, employee personal data, scans",Energy,United States
atlascontainer.com,22/03/2024,"accounting documents, corporate data, financial data, hr data",Manufacturing,United States
www.pgesco.com,22/03/2024,Not Yet Published,Energy,Egypt
robar.com,27/03/2024,"corporate data, financial data, hr data, payroll",Distributor,United States
schlesingerlaw.com,27/03/2024,"employee personal data, scans, document libraries",Legal,United States
sermo.com,27/03/2024,"employee personal data, financial data, projects data, patient data",Healthcare,United States
Parklane Group,27/03/2024,"accounting documents, clients data, corporate data, hr data",Hospitality,United Kingdom
numotion.com,27/03/2024,"employee personal data, hr data, legal data, payroll and financial data, users shared data",Healthcare,United States
processsolutions.com,27/03/2024,"cad, corporate data, employee personal data, projects data",Manufacturing,United States
gfgcapital.com,27/03/2024,"corporate data, quickbooks accounting documents",Financial Services,United States
duvel.com | boulevard.com,27/03/2024,"accounting data, employee personal data, hr data",F&B,Belgium
keystonetech.com,27/03/2024,"accounting data, employee personal data, financial data, hr data, it data, scans",Electronics,United States
pdq-airspares.co.uk,27/03/2024,"corporate data, employee personal data",Aerospace,United Kingdom
sierralobo.com,27/03/2024,"accounting data, employee personal data, payroll, project data",Aerospace,United States
theshootingwarehouse.com,27/03/2024,"accounting data, department data, employee personal data, hr data, payroll",Firearms,United States
rentacrate.com,27/03/2024,"employee personal data, personal documents, users and public data",Logistics,United States
jaytexgroup.com,27/03/2024,"accounting data, employee personal data, hr data, payroll",Retail,Canada
pctinternational.com,29/03/2024,"employee personal data, financial data, hr data",Telecommunication,United States
mjcelco.com,29/03/2024,"drawings, employee personal data, financial data, project and engineering data",Manufacturing,United States
www.officeops.com,30/03/2024,Not Yet Published,Technology,United States
www.odysseyfitnesscenter.com,30/03/2024,"Personal Information, Client Information, Financial Records",Healthcare,United States
organizedliving.com,01/04/2024,"accounting documents, corporate data, employee personal data, engineering data, hr data",Retail,United States
www.williamsconst.com,02/04/2024,Not Yet Published,Construction,United States
www.goldenbusiness.com,02/04/2024,"Client Documents, Invoice Documents",Technology,United States
www.gendroncorp.com,02/04/2024,"Construction Documents, Technical Documents",Construction,United States
www.gwextrusions.com,02/04/2024,"Technical Documents, Design Documents, Client Documents ",Manufacturing,United States
www.compactmould.com,02/04/2024,Not Yet Published,Manufacturing,Canada
www.itstaffing.com,02/04/2024,IT Documents,Technology,United States
www.mips.com,02/04/2024,"IT Documents, Client Information",Semiconductor ,United States
www.agenciahost.com,03/04/2024,Customer Data,Technology,Brazil
www.aretusamilano.it,04/04/2024,Not Yet Published,Service Provider,Italy
www.haydenpower.com,04/04/2024,Not Yet Published,Service Provider,United States
www.hcisystems.net,06/04/2024,Invoices,Safety and Risk Management,United States
www.betteraccountingsolutions.com,06/04/2024,Not Yet Published,Accounting,United States
www.nrshealthcare.com,07/04/2024,"Accounting Documents, Financial Reports, HR Documents, Reception, Contracts",Healthcare,United Kingdom
www.skywaycoach.ca,08/04/2024,"Customer Data, Driver License, Bills, Payment Documents, Order Histories, Earnings",Transportation,Canada
www.farmaciaflorio.com,08/04/2024,"Invoice Documents, Delivery Addresses, Database, Orders Information",Healthcare,Italy
ero-etikett.com,09/04/2024,"employee personal data, financial data",Manufacturing,Germany
carolinafoodsinc.com,09/04/2024,"accounting documents, corporate data, users personal data",F&B,United States
lagunitas.com,09/04/2024,"corporate data, employee personal data",Beverage,United States
amerlux.com,09/04/2024,"corporate data, employee personal data, drawings and engineering",Service Provider,United States
fpdcompany.com,09/04/2024,"accounting data, engineering data, engineering employees personal data, finance and legal data",Aerospace,United States
"Baca County Feedyard, Inc",09/04/2024,Not Yet Published,Manufacturing,United States
vilis.com,09/04/2024,"employee personal data, financial data, incident reports",F&B,Australia
State of Alabama - Alabama Department Of Education,09/04/2024,"Confidential, Customer's data, Financial data",Education,United States
bulwarkpestcontrol.com,09/04/2024,"contracts and agreements, corporate data",Service Provider,United States
northamericansigns.com,09/04/2024,"accounting data, cad, corporate data, design documents, employee personal data",Commercial Signage,United States
dgse.com,09/04/2024,"accounting data, corporate data, employee personal data",Jewlery,United States
otrwheel.com,09/04/2024,"customer data, engineering data, financial data, hr data, employee personal data and password files",Automotive,United States
prodrive.com,09/04/2024,"employee personal data, financial data, current and old), holding and corporate data, projects and r&d (new",Automotive,United Kingdom
