Name,Date,Tags,Sector,Countries
leclairgroup.com,17/6/2024,"401k forms, i-9 forms, insurance data",Insurance,United States
stemcor.com,17/6/2024,"employee personal data, financial and accounting data",Steel,United Kingdom
unitedindustries.co.nz,17/6/2024,"employee personal data, accounts and finance",Construction,New Zealand
prudentpublishing.com,25/6/2024,"employee personal data, hr data, tax confidential forms",Publishing,United States
agc.com,25/6/2024,"employee personal data, financial data, hr data, technical documentation",Manufacturing,Japan
haes.ca,15/7/2024,"admin data, financial data, hr data, projects data, executive and governance data",Equipment Rentals,Canada
kivibros.com,15/7/2024,"accounting data, hr data, payroll",Transportation and Logistics,United States
dupont-restauration.fr,15/7/2024,employee personal folders and files,F&B,France
envea.global,15/7/2024,"contracts and agreements, hr data",Environmental Monitoring and Management,United Kingdom
nals.com,15/7/2024,"accounting documents, employee personal data, payroll, reports",Real Estate,United States
leonardsexpress.com,16/7/2024,"financial data, passports, 1099 information, insurance documents, ssn",Transportation and Logistics,United States
graebener-group.com,22/7/2024,"employee personal folders and files, technical documentation",Energy,Germany
